id,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,T,SRA,SCE,SCEa,SSV,P,F,RGLB
B1BLAT01,17.4611,48.9465,211,Blatnice,Blatnice pod svatým Antonínkem,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1BOJK01,17.81,49.0402,310,Bojkovice,Bojkovice,AKS3,T,SRA,SCE,NA,NA,NA,NA,NA
B1BUCH01,17.335389,49.089008,257,Buchlovice,Buchlovice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1BYSH01,17.6706,49.3964,314,Bystřice pod Hostýnem,Bystřice pod Hostýnem,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
B1BZEN01,17.3055,48.9816,182,Bzenec,Bzenec,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1DREV01,17.586111,49.424444,238,Dřevohostice,Dřevohostice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1HLHO01,17.8033,49.155,348,Horní Lhota,Horní Lhota,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1HLUK01,17.538,48.9863,225,Hluk,Hluk,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1HODO01,17.104872,48.854292,172,Hodonín,Hodonín,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1HOLE01,17.57,49.320556,222.25,Holešov,Holešov,AMS1,T,SRA,SCE,NA,SSV,P,F,RGLB_D
B1IVAN01,17.0894,49.3092,243,Ivanovice na Hané,Ivanovice na Hané,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
B1KLZI01,17.7925,49.0842,329,Luhačovice,"Luhačovice, Kladná-Žilín",AKS2,T,SRA,SCE,NA,NA,NA,F,NA
B1KOJE01,17.2944,49.3527,203,Kojetín,Kojetín,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1KRAL01,17.1827,49.4597,210,Kralice na Hané,Kralice na Hané,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1KROM01,17.3653,49.2847,233,Kroměříž,Kroměříž,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
B1KVAS01,17.4703,49.2453,190,Kvasice,Kvasice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1LYSO01,16.968611,49.216667,275,Lysovice,Lysovice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1MSLI01,17.2319,49.2417,289,Morkovice-Slížany,"Morkovice-Slížany, Slížany",MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1NAMH01,17.065,49.605,247,Náměšť na Hané,Náměšť na Hané,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1NAPA01,17.5167,49.1833,185,Napajedla,Napajedla,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1NIVN01,17.64502,48.98061,241,Nivnice,Nivnice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1PLUM01,17.0128,49.4683,303,Plumlov,Plumlov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1PODI01,17.003611,49.369444,375,Podivice,Podivice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1PROS01,17.134722,49.4525,214.75,Prostějov,Prostějov,AMS,T,SRA,SCE,NA,SSV,P,F,NA
B1PROT01,16.83105,49.47782,675,Protivanov,Protivanov,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
B1RADE01,17.3348,48.8639,240,Radějov,Radějov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1SLIN01,17.8783,49.0853,362,Slavičín,Slavičín,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1STHR01,17.8614,48.9681,412,Starý Hrozenkov,Starý Hrozenkov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
B1STIT01,17.9711,49.0728,315,Štítná nad Vláří - Popov,Štítná nad Vláří - Popov,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
B1STME01,17.4322,49.0917,221,Staré Město,Staré Město,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
B1STRN01,17.7078,48.9028,383,Strání,Strání,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
B1STRZ01,17.3381,48.8992,176,Strážnice,Strážnice,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
